"","Страны","Экспорт.2014","Экспорт.2015","Экспорт.2016","Импорт.2014","Импорт.2015","Импорт.2016"
"97","Норвегия",8491.3,18841.4,13.5,2740.5,"1670.3",1592.5
"98","Арабские Эмираты",10922.3,9698.5,19455.4,4677.9,"11060.3",6530.8
"99","Оман",375.7,51.4,1604.1,NA,NA,NA
"100","Острова Кука",NA,NA,NA,NA,NA,0.4
"101","Острова Теркс и Кайкос",NA,NA,NA,0.4,NA,1.6
"102","Пакистан ",794.3,772.4,1392.1,358.7,"291.3",402.2
"103","Панама",NA,393.7,1288.7,NA,NA,0.1
"104","Папуа Новая Гвинея",138.1,178,NA,NA,NA,NA
"105","Парагвай",NA,NA,2.2,NA,NA,NA
"106","Перу",3380.7,4165.1,2580.4,0.1,NA,2.8
"107","Польша",1758495.2,968796.8,1538630,64335.2,"33058.6",34405.4
"108","Португалия",14851.5,41730.7,50424.8,6466.1,"3737.3",6411.5
"109","Пуэрто-Рико",NA,26507.8,NA,1.8,NA,NA
"110","Южная Корея",184847.9,49570.6,27274.5,125759.2,"37699.9",27281.4
"111","Республика Македония",NA,87.2,1932.8,315.7,"118.5",196.1
"112","Руанда",32783.2,80528.1,NA,NA,"0.7",NA
"113","Румыния",207728.1,444307.1,212760.4,24739.7,"17242.5",4069.6
"114","Саудовская Аравия",3230.6,6857,2465.3,1494.6,"4074.7",8689.8
"115","Сенегал ",339.1,62.7,1.8,NA,NA,NA
"116","Сербия",20517.2,26690.2,68525.8,9311.5,"5802.5",6760.4
"117","Сингапур",43438.7,29774.8,34891.2,2053.7,"11428.6",8566.1
"118","Сирия",8274.1,19269,178.4,NA,NA,NA
"119","Словакия",355050.4,423063.5,252949.4,38084.1,"24857.8",31198.8
"120","Словения",709.3,203.5,290.6,3852.1,"1273.4",1273.4
"121","Соломоновы острова",NA,NA,NA,0.1,NA,NA
"122","Сомали",3.1,NA,NA,NA,NA,NA
"123","Судан",153.4,13814.7,4669.6,NA,NA,NA
"124","США",251414.2,98054.5,115128.7,256325.9,"187057.9",472912.5
"125","Сьерра-Леоне",NA,NA,NA,NA,NA,3.1
"126","Таиланд",4577.6,43180.9,NA,11522.1,"17406.6",14798.8
"127","Тайвань",3876.1,22319.8,46709.5,3675.9,"4488.6",5042.9
"128","Танзания",919.7,0.2,97.5,NA,NA,NA
"129","Тунис",1.6,3.1,4.4,323.3,"801.2",974.8
"130","Турция",183238.7,225943.6,111241.2,325405.3,"130078.5",104353.5
"131","Уганда",1443.6,752.3,NA,NA,NA,NA
"132","Уругвай",NA,1310.2,176.3,NA,NA,NA
"133","Уоллис и Футуна",NA,NA,NA,0.5,"1.4",NA
"134","Фиджи",NA,NA,NA,NA,NA,0.6
"135","Филиппины",NA,4054.8,NA,141.4,"121.2",37.2
"136","Финляндия",976341.3,353502.5,374763.4,16080.1,"10532",12072.8
"137","Франция",201374.4,91043.1,25265.8,129584.5,"85393.4",142358.1
"138","Хорватия",105779.7,28031.6,168.9,1978.1,"787.9",1134.9
"139","ЦАО",NA,NA,88.7,NA,NA,NA
"140","Черногория",43.6,27.1,13.4,10.3,"3.1",31.7
"141","Чехия",60311.5,45908,132941.4,78481.1,"43051.6",63025.1
"142","Чили",13404.4,9683.1,6810.6,8.3,"3.6",26.9
"143","Швейцария",9401.8,43396.9,65091.8,37177.5,"38206.1",32780.9
"144","Швеция",328827.8,130346.9,193995,13169.2,"5663.3",11104.6
"145","Шри-Ланка",NA,NA,NA,42.6,"63.2",193.5
"146","Эквадор",2149.2,2299.1,2117.5,NA,"206",0.1
"147","Эль-Сальвадор",NA,NA,NA,NA,NA,1.4
"148","Эстония",132334,43738.3,179201,1344.7,"2133",2550.5
"149","Эфиопия",783.9,3.2,926.4,NA,NA,NA
"150","ЮАР",8969.4,8678.2,6284.9,12796,"2819.5",1190.4
"151","Южная Осетия",11259.2,2963.3,7528.7,33.3,NA,NA
"152","Южный Судан",2928.5,87.8,68,NA,NA,NA
"153","Ямайка",NA,NA,NA,26.8,"10.3",3.9
"154","Япония",26177.2,54856.5,28850.1,80817.2,"56609.5",57738.7
"155","Другие страны",27.2,45.8,72.6,NA,NA,NA
"156","Азербайджан",41280.7,31894.6,36745.8,10162.5,"3531.0",1887.3
"157","Армения",6334.7,7100.7,7949.2,180.6,"249.9",520
"158","Беларусь",834755.4,676960.7,545231.2,335071.3,"201421.1",175518
"159","Казахстан",375100.1,477346.3,420788,12560.4,"10838.0",10639.9
"160","Киргизия",42647,41980.3,27158.8,279.2,"118.5",224.5
"161","Молдавия",13166.4,12260.8,12143.1,433.3,"50.3",182.7
"162","Таджикистан",12857.8,16614.2,10513.6,NA,"15.3",136
"163","Туркмения",33682.7,116528,15805.8,12439.2,"4485.2",5801.5
"164","Узбекистан",113417.4,106760.5,43533.6,9259.8,"4261.6",7245.7
"165","Украина",227338.9,122439.8,109467.8,426351.6,"176460.0",42137.8
